dataset,n_clusters,avg_radius1,avg_radius2,avg_radius_sklearn,avg_silhouette1,avg_silhouette2,avg_silhouette_sklearn,avg_adjusted_rand1,avg_adjusted_rand2,avg_adjusted_rand_sklearn,avg_time1,avg_time2,avg_time_sklearn,std_radius1,std_radius2,std_radius_sklearn,std_silhouette1,std_silhouette2,std_silhouette_sklearn,std_adjusted_rand1,std_adjusted_rand2,std_adjusted_rand_sklearn,std_time1,std_time2,std_time_sklearn
1,3,1.0114280953125412,2.5954168864593243,1.6799344048789198,0.347438207789926,0.28318133004758395,0.3841428425379108,0.007717406765508157,0.051520260874077795,-0.0017850655775001557,0.005454881985982259,0.0001336971918741862,0.07937878767649333,2.220446049250313e-16,0.2185041567716688,0.044371113446627676,0.02190847175320739,0.059733158721676415,0.004065112207778556,0.007946236257096558,0.0751951978791481,0.00011785893948875676,0.0026740847945312114,8.288843289278397e-05,0.008268397186968129
2,3,0.9141633666324519,2.3483902495500506,1.7707360382395207,0.4025773412512161,0.3581749555070585,0.4454849914075974,0.36564710529238653,0.3006474419246017,0.39263087599581137,0.006071337064107259,0.00011858940124511718,0.08042764663696289,0.14434158420512397,0.22637514189043467,0.018779717675875697,0.028591828187901947,0.05235903456202207,0.0008048316480580938,0.05486210238028918,0.09267583553925768,0.008005492991751744,0.002754726345186944,4.427939052076068e-05,0.008402713043279343
3,3,1.0558145886534047,2.552534341878065,1.81866499016538,0.4024556438187798,0.3199996659052377,0.4364368489396939,0.34410824843830456,0.31631451234509306,0.37878584481685734,0.005106417338053385,0.00013554096221923828,0.08091420332590739,0.13622401567926556,0.19907800915237622,0.031159897702369967,0.035134771181327636,0.09707411648555964,0.017828389517344775,0.051426407480309445,0.11916292917378522,0.021459054077312197,0.0010116876087485614,9.823911629841758e-05,0.011135832657131457
4,3,0.9543492117511356,2.4906257152757565,0.6880443454750979,0.8434891488170027,0.4183313396555762,0.8437237784269238,0.9995726715304107,0.6235844518281122,1.0,0.005498615900675455,0.0001142422358194987,0.08142959276835124,2.220446049250313e-16,0.21150916997438918,2.220446049250313e-16,0.0012635191180590424,0.26749280589791324,1.1102230246251565e-16,0.002301234235518516,0.22516690444136697,0.0,0.0024895813349566963,1.6800992981838067e-05,0.006789544812831921
5,3,1.0117121918336343,2.6032019050601716,1.4178192296054062,0.6185487930636403,0.46600108825209635,0.6469206729331849,0.673278416707934,0.5753694739908856,0.7043881089723047,0.005051239331563314,0.00011795361836751302,0.0781172513961792,0.0,0.18543802030162726,0.01868035184612343,0.026824369701942276,0.18792532013198981,0.01736350276369677,0.03386204867048265,0.1492566150449981,0.01418328657679404,0.0012129354818059442,3.419374255489655e-05,0.009875143672099108
6,3,1.070844218668782,2.947675418196066,1.9910509831869834,0.34593816065441035,0.27414039687620695,0.3922049892189579,-0.00013664988159870964,-0.00012829867643009095,-0.0013344316752259555,0.005362081527709961,0.00015918413798014322,0.0805495818456014,0.19500912739321927,0.26717053087096204,0.06664421371355525,0.03163429223818931,0.06341802334739284,0.007631982521806793,0.0015389794135190113,0.0017178206291282938,0.00040850591068305835,0.0010075796499815133,0.0001140910890248233,0.0059771479932871335
7,3,0.7493883415939625,2.4504814543115034,1.4996533207221365,0.47353656401669564,0.3589913380004953,0.5041785620577116,0.5067100104380171,0.2881236233164791,0.5943359692308507,0.007263859113057454,0.00011856555938720703,0.07838416894276937,1.1102230246251565e-16,0.2735350107022033,0.011376784693903212,0.028180867571670862,0.1166299602126082,0.0002779998480519323,0.09119967298501706,0.1184172894264008,0.0035065444778001054,0.002407943067924835,2.3670786808747474e-05,0.01452662464053762
8,3,0.8337881195908768,2.7699586798648723,2.17382773836315,0.5030977400720307,0.3785522145850227,0.5355562512079419,0.45247986551939884,0.27088579964586984,0.4897935368395977,0.008437013626098633,0.0003234545389811198,0.07893478075663249,0.1448414980073433,0.2225625769717836,0.017456924803008343,0.07895166857906342,0.14136971513075672,0.015740969736354502,0.10790680514046538,0.16451390385366016,0.02123426217802846,0.002852867328232866,0.000876646750888927,0.008249379936037584
9,3,0.8784587702668012,2.5568739416676323,2.166579158349267,0.5637756391576944,0.42820901701042335,0.6258599811154764,0.6048705257513193,0.4654422489939631,0.7682155621886122,0.009178988138834636,0.0003581523895263672,0.07551082770029703,0.30974953950351775,0.2750130247575911,0.003438188933664386,0.04602363465950875,0.16181779992598117,0.0004368369672972514,0.09466679927234257,0.15046402619098898,0.002755578945856054,0.006117656258055744,0.0010884949724201862,0.01141448836713291
10,3,0.6330503392633003,2.3962784112405893,1.4247779525030944,0.6115741568952645,0.48794567777209424,0.6298740149822689,0.5722678273691267,0.46132471820628634,0.5846145615683926,0.007955495516459148,0.00013325214385986328,0.07903558413187663,0.14804109238151733,0.19386223044685752,0.19171267272319162,0.0403348773958997,0.2511289513427147,0.009886704915735166,0.039840799006693906,0.19421541480136587,0.0495012290926085,0.0021132534265372524,3.1320637153141064e-05,0.0054865784505939985
